#separator:tab
#html:true
#tags column:5
相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
海水浴場	海[かい] 水[すい] 浴[よく] 場[じょう]	bathing area, beach		0172
回数券	回[かい] 数[すう] 券[けん]	book of tickets		0030 0031
快晴	快[かい] 晴[せい]	clear and sunny		0034
改正	改[かい] 正[せい]	revision		0066 0119
改正案	改[かい] 正[せい] 案[あん]	proposed amendment		0067
解説	解[かい] 説[せつ]	commentary		0026
改善	改[かい] 善[ぜん]	improvement		0042 0119
改造	改[かい] 造[ぞう]	remodelling		0119
会談	会[かい] 談[だん]	conference, talk		0066
改築	改[かい] 築[ちく]	rebuilding		0119
改訂版	改[かい] 訂[てい] 版[ばん]	revised edition		0173
開発	開[かい] 発[はつ]	development		0074
回復	回[かい] 復[ふく]	recovery		0062 0113
外務省	外[がい] 務[む] 省[しょう]	Ministry of Foreign Affairs		0067
外務大臣	外[がい] 務[む] 大[だい] 臣[じん]	foreign minister		0067
改良	改[かい] 良[りょう]	improvement		0074 0119
帰す	帰[かえ]す	to send home		0014
かえって	かえって	instead, on the contrary		0019 0136
顔が広い	顔[かお]が 広[ひろ]い	to know a lot of people		0148
顔つき	顔[かお]つき	looks, facial expression		0161
香り	香[かお]り	fragrance		0014
顔を貸す	顔[かお]を 貸[か]す	to join, to come along		0148
顔を出す	顔[かお]を 出[だ]す	to make an appearance		0148
価格	価[か] 格[かく]	price		0062
化学	化[か] 学[がく]	chemistry		0038
科学	科[か] 学[がく]	science		0074
科学者	科[か] 学[がく] 者[しゃ]	scientist		0074 0075 0172
科学的	科[か] 学[がく] 的[てき]	scientific		0075
かかる	かかる	to get, to catch		0022
書き上がる	書[か]き 上[あ]がる	to finish writing		0160
書き直す	書[か]き 直[なお]す	to rewrite		0160
かく	かく	to (sweat, snore, etc.)		0034
各～	各[かく]～	each ～		0166
かぐ	かぐ	to smell		0014
家具	家[か] 具[ぐ]	furniture		0018
～学	～ 学[がく]	branch of study, -ology		0039
隠す	隠[かく]す	to hide		0010
学生証	学[がく] 生[せい] 証[しょう]	student ID card		0173
拡大	拡[かく] 大[だい]	enlargement, magnification	反.  縮[しゅく] 小[しょう]<br>shrink	0050
各分野	各[かく] 分[ぶん] 野[や]	each field [area]		0166
確保	確[かく] 保[ほ]	securement		0058
各方面	各[かく] 方[ほう] 面[めん]	various quarters [sides]		0166
革命	革[かく] 命[めい]	revolution		0066
学力	学[がく] 力[りょく]	scholastic ability		0038
影	影[かげ]	reflection, shadow		0101
陰	陰[かげ]	behind		0101
がけ崩れ	がけ 崩[くず]れ	landslide		0059
駆け込む	駆[か]け 込[こ]む	to rush into		0160
掛け算	掛[か]け 算[ざん]	multiplication		0078
かける	かける	to place, to impose		0062
掛ける	掛[か]ける	to multiply, to times		0078
～かける	～かける	to start -ing		0160
過去	過[か] 去[こ]	past		0082
家事	家[か] 事[じ]	housework		0018
貸し出す	貸[か]し 出[だ]す	to lend		0160
果実	果[か] 実[じつ]	fruit		0034
かじる	かじる	to take a bite out of		0014
風邪気味	風邪[かぜ] 気[ぎ] 味[み]	slight cold		0078 0079
稼ぐ	稼[かせ]ぐ	to earn		0042
河川	河[か] 川[せん]	river		0058
家族連れ	家[か] 族[ぞく] 連[づ]れ	accompanied by family		0161
型	型[かた]	mold, model, form		0101
片～	片[かた]～	one (of two) ～		0167
課題	課[か] 題[だい]	task, challenge		0066
形	形[かたち]	shape, style		0101
片ひざ	片[かた]ひざ	one knee		0167
固まる	固[かた]まる	to harden, to solidify (vi.)		0178
片道	片[かた] 道[みち]	one way	反.  往[おう] 復[ふく]<br>both ways, round trip	0030
傾く	傾[かたむ]く	to lean, to decline		0088
固める	固[かた]める	to harden, to stiffen (vt.)		0178
肩を落とす	肩[かた]を 落[お]とす	to be disappointed, to be let down		0149
肩を貸す	肩[かた]を 貸[か]す	to lend somebody one's shoulder (to lean on)		0149
