#separator:tab
#html:true
#tags column:5
相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
身につける	身[み]につける	to learn, to cultivate		0154
実る	実[みの]る	to ripen		0034
未発表	未[み] 発[はっ] 表[ぴょう]	unpublished		0026 0027 0166
身分証	身[み] 分[ぶん] 証[しょう]	identification card		0173
見回る	見[み] 回[まわ]る	to go [look] around		0160
耳が痛い	耳[みみ]が 痛[いた]い	painful to hear		0149
耳が早い	耳[みみ]が 早[はや]い	to be the first to know something		0149
耳にする	耳[みみ]にする	to hear		0149
耳を貸す	耳[みみ]を 貸[か]す	to listen to		0149
魅力的	魅[み] 力[りょく] 的[てき]	enchanting		0047
診る	診[み]る	to examine (medically)		0022
見分ける	見[み] 分[わ]ける	to distinguish		0070 0071
無～	無[む]～	un-, in-		0166
～む	～む	(turns adjectives into verbs expressing feelings, emotions, etc.)		0178
向かう	向[む]かう	to head toward		0083
むかむか	むかむか	to feel sick		0143
無許可	無[む] 許[きょ] 可[か]	unauthorised		0166
無気力	無[む] 気[き] 力[りょく]	lethargic		0166
無視	無[む] 視[し]	ignoring		0030
蒸し暑い	蒸[む]し 暑[あつ]い	hot and humid		0034
虫の居所が悪い	虫[むし]の 居[い] 所[どころ]が 悪[わる]い	to be in a bad mood		0155
むしろ	むしろ	rather		0136
蒸す	蒸[む]す	to steam		0018
結びつける	結[むす]びつける	to tie, to fasten		0011
胸が一杯になる	胸[むね]が 一[いっ] 杯[はい]になる	to be overwhelmed with emotion		0154
胸に納める	胸[むね]に 納[おさ]める	to keep to oneself (a secret, etc.)		0154
胸を打つ	胸[むね]を 打[う]つ	to be moving		0154
胸を張る	胸[むね]を 張[は]る	to be proud		0154
無反応	無[む] 反[はん] 応[のう]	no response		0166
群がる	群[むら]がる	to gather, to huddle		0070
群れ	群[む]れ	flock, herd		0070
～目	～ 目[め]	-st, -nd, -th		0039
名～	名[めい]～	famous [good] ～		0027 0167
名演技	名[めい] 演[えん] 技[ぎ]	fine performance		0167
名曲	名[めい] 曲[きょく]	famous piece of music		0027 0167
名作	名[めい] 作[さく]	fine work (of art)		0026
名所	名[めい] 所[しょ]	famous place		0030
名勝負	名[めい] 勝[しょう] 負[ぶ]	good match		0027 0167
名セリフ	名[めい]セリフ	famous line		0167
名場面	名[めい] 場[ば] 面[めん]	famous scene (in a movie)		0026 0027 0167
迷惑メール対策	迷[めい] 惑[わく]メール 対[たい] 策[さく]	measures against spam		0051
目上	目[め] 上[うえ]	superior	反.  目[め] 下[した]<br>subordinate	0002
～メーカー	～メーカー	～ maker		0063
メール	メール	mail, email		0050
目がない	目[め]がない	having a weakness for		0148
巡る	巡[めぐ]る	to go around		0030
目指す	目[め] 指[ざ]す	to aim at		0042
めざましい	めざましい	remarkable		0075
飯	飯[めし]	food, rice		0014
目下	目[め] 下[した]	subordinate	反.  目[め] 上[うえ]<br>superior	0002
雌	雌[めす]	female (animal)		0070
めちゃくちゃ	めちゃくちゃ	complete mess		0142
目つき	目[め]つき	look		0161
めっきり	めっきり	really, remarkably		0007 0124
メッセージ	メッセージ	message		0112
めったに	めったに	rarely		0039 0130
メディア	メディア	media		0046
目に浮かぶ	目[め]に 浮[う]かぶ	to imagine, to picture in one's mind		0148
目に付く	目[め]に 付[つ]く	to be conspicuous		0148
めまい	めまい	dizziness		0014
～める	～める	(turns adjectives into transitive verbs expressing change)		0011 0178
目を付ける	目[め]を 付[つ]ける	to fix one's attention on		0148
目を通す	目[め]を 通[とお]す	to look over		0148
免許証	免[めん] 許[きょ] 証[しょう]	licence		0173
免税店	免[めん] 税[ぜい] 店[てん]	duty-free shop		0030
面積	面[めん] 積[せき]	area		0078
面倒	面[めん] 倒[どう]	trouble		0107
メンバー	メンバー	member		0078
もうかる	もうかる	to be profitable, to make a profit		0042
もうける	もうける	to make a profit		0042
申し込み	申[もう]し 込[こ]み	application		0054
申し込む	申[もう]し 込[こ]む	to apply		0054 0055
申し訳ない	申[もう]し 訳[わけ]ない	I'm sorry.		0010
目次	目[もく] 次[じ]	table of contents		0026
もしかしたら	もしかしたら	maybe		0131
もしかすると	もしかすると	maybe		0131
もたれる	もたれる	to lean		0014 0022
持ち上げる	持[も]ち 上[あ]げる	to lift		0035
持ち込む	持[も]ち 込[こ]む	to bring [carry] in		0160
持ち直す	持[も]ち 直[なお]す	to recover		0113
もてる	もてる	to be popular with		0010
元	元[もと]	original		0083
元～	元[もと]～	former ～		0166
モニター	モニター	monitor		0050
モノレール	モノレール	monorail		0030
もはや	もはや	(not) any longer [more]		0075 0125
もむ	もむ	to massage		0022
模様	模[も] 様[よう]	pattern		0018
～模様	～ 模[も] 様[よう]	～ pattern		0019
文句	文[もん] 句[く]	complaint		0101
持ち出す	持[も]ち 出[だ]す	to take out		0160
文部科学省	文[もん] 部[ぶ] 科[か] 学[がく] 省[しょう]	Ministry of Education, Culture, Sports, Science and Technology		0067
やかましい	やかましい	noisy		0006 0100 0107 0118
焼き上がる	焼[や]き 上[あ]がる	to be baked		0160
焼き立て	焼[や]き 立[た]て	freshly baked [roasted]		0161
～役	～ 役[やく]	role of ～		0026
役者	役[やく] 者[しゃ]	actor [actress]		0026
訳す	訳[やく]す	to translate		0026
役立つ	役[やく] 立[だ]つ	to be useful		0078
役目	役[やく] 目[め]	role, function		0054
役割	役[やく] 割[わり]	role, function		0054
休み明け	休[やす]み 明[あ]け	just after a holiday break		0161
厄介	厄[やっ] 介[かい]	trouble		0107
薬局	薬[やっ] 局[きょく]	pharmacy, chemist [drugstore]		0022
雇う	雇[やと]う	to hire		0042
野党	野[や] 党[とう]	opposition (party)		0066
破る	破[やぶ]る	to tear, to break	反.  守[まも]る<br>to keep, to protect	0002 0026 0113
敗れる	敗[やぶ]れる	to be beaten [defeated]		0026
やむをえず	やむをえず	unavoidably		0136
やむをえない	やむをえない	unavoidable		0107
やや	やや	a little		0106
有害	有[ゆう] 害[がい]	harmful		0070
夕刊	夕[ゆう] 刊[かん]	evening newspaper		0046
夕暮れ時	夕[ゆう] 暮[ぐ]れ 時[どき]	dusk		0082 0083
有効	有[ゆう] 効[こう]	effective		0119
優先度	優[ゆう] 先[せん] 度[ど]	priority		0173
夕立	夕[ゆう] 立[だち]	shower		0034
有能	有[ゆう] 能[のう]	competent		0119
有望	有[ゆう] 望[ぼう]	promising		0119
有名人	有[ゆう] 名[めい] 人[じん]	famous person		0046 0047
ユーモア	ユーモア	humour		0006
有利	有[ゆう] 利[り]	advantageous		0119
有力	有[ゆう] 力[りょく]	influential, powerful		0119
行方	行方[ゆくえ]	whereabouts		0058
ゆで上がる	ゆで 上[あ]がる	to be completely boiled		0160
ゆでる	ゆでる	to boil		0018
湯飲み	湯[ゆ] 飲[の]み	teacup		0014
許す	許[ゆる]す	to forgive		0054
湯沸かし器	湯[ゆ] 沸[わ]かし 器[き]	water heater		0172
夜明け	夜[よ] 明[あ]け	dawn		0161
酔い	酔[よ]い	drunkenness		0014
酔う	酔[よ]う	to get drunk		0014
～用	～ 用[よう]	for ～		0173
陽気	陽[よう] 気[き]	cheerful		0006
要求	要[よう] 求[きゅう]	demand		0042
洋食	洋[よう] 食[しょく]	Western food	反.  和[わ] 食[しょく]<br>Japanese food	0014
幼稚園	幼[よう] 稚[ち] 園[えん]	kindergarten		0054 0055
幼稚園児	幼[よう] 稚[ち] 園[えん] 児[じ]	kindergarten child		0055
用途	用[よう] 途[と]	(intended) use		0112
洋風	洋[よう] 風[ふう]	Western style	反.  和[わ] 風[ふう]<br>Japanese style	0014 0015
ようやく	ようやく	in the end		0011 0136
要領	要[よう] 領[りょう]	point, gist		0006
預金	預[よ] 金[きん]	saving, deposit		0062
～預金	～ 預[よ] 金[きん]	～ deposit		0063
余計	余[よ] 計[けい]	extra		0124
汚す	汚[よご]す	to get dirty		0018
予算案	予[よ] 算[さん] 案[あん]	budget proposal		0066 0067
寄せる	寄[よ]せる	to bring close to, to send, to have		0095
予想通り	予[よ] 想[そう] 通[どお]り	as expected		0083
酔っ払い	酔[よ]っ 払[ぱら]い	drunkard		0014
よっぽど	よっぽど	exceedingly		0124
予定通り	予[よ] 定[てい] 通[どお]り	as scheduled		0083
与党	与[よ] 党[とう]	ruling party		0066
夜中	夜[よ] 中[なか]	middle of the night		0082
呼び出す	呼[よ]び 出[だ]す	to call, to page		0160
余分	余[よ] 分[ぶん]	extra, surplus		0022
予防	予[よ] 防[ぼう]	prevention		0022
予防法	予[よ] 防[ぼう] 法[ほう]	how to prevent		0173
よほど	よほど	exceedingly		0015 0124
読み直す	読[よ]み 直[なお]す	to reread		0160
弱気	弱[よわ] 気[き]	coward	反.  強[つよ] 気[き]<br>strong, aggressive	0006
弱まる	弱[よわ]まる	to weaken (vi.)		0178
弱み	弱[よわ]み	weakness		0179
弱める	弱[よわ]める	to weaken (vt.)		0178
四歳児	四[よん] 歳[さい] 児[じ]	four-year-old child		0054 0055
～らしい	～らしい	look, seem		0011
ラッシュアワー	ラッシュアワー	rush hour		0030
乱暴	乱[らん] 暴[ぼう]	rough, violent		0006
利害	利[り] 害[がい]	interests		0042
陸	陸[りく]	land		0034
離婚	離[り] 婚[こん]	divorce		0054
リサイクル	リサイクル	recycle		0070
利子	利[り] 子[し]	interest		0062
理想	理[り] 想[そう]	ideal		0010
理想的	理[り] 想[そう] 的[てき]	ideal		0011
利息	利[り] 息[そく]	interest		0062
～率	～ 率[りつ]	～ rate		0173
立体	立[りっ] 体[たい]	solid		0078
リットル	リットル	litre		0078
立法センチメートル	立[りっ] 法[ぽう]センチメートル	cubic centimetre		0078
立方体	立[りっ] 方[ぽう] 体[たい]	cube		0078
両～	両[りょう]～	both ～		0167
～料	～ 料[りょう]	～ fee		0015 0172
～量	～ 量[りょう]	～ amount		0071 0173
料金	料[りょう] 金[きん]	fee, charge		0062
両ひざ	両[りょう]ひざ	both knees		0167
両わき	両[りょう]わき	both sides		0167
～力	～ 力[りょく]	～ power [force]		0173
リラックス	リラックス	relax		0113
礼儀	礼[れい] 儀[ぎ]	courtesy		0112
礼儀正しい	礼[れい] 儀[ぎ] 正[ただ]しい	polite		0006 0007
冷静	冷[れい] 静[せい]	calm		0006 0113
レジャー	レジャー	leisure		0112
～連合	～ 連[れん] 合[ごう]	～ union [coalition]		0067
労働組合	労[ろう] 働[どう] 組[くみ] 合[あい]	trade union [labor union]		0042
労働条件	労[ろう] 働[どう] 条[じょう] 件[けん]	working conditions		0042
ローン	ローン	loan		0062
ロンドン行き	ロンドン 行[い]き	to [bound] for London		0030 0031
論文	論[ろん] 文[ぶん]	dissertation, essay		0038
わがまま	わがまま	selfish		0006 0107
わく	わく	to spring out		0034
枠	枠[わく]	box		0083
わざと	わざと	on purpose		0007 0136
わざわざ	わざわざ	bother [trouble] (to do)		0136
和食	和[わ] 食[しょく]	Japanese food	反.  洋[よう] 食[しょく]<br>Western food	0014
わずか	わずか	a few, a little, only		0027 0078 0137
綿	綿[わた]	cotton (plant)		0026
話題	話[わ] 題[だい]	topic		0046
和風	和[わ] 風[ふう]	Japanese style	反.  洋[よう] 風[ふう]<br>Western style	0014 0015
笑いかける	笑[わら]いかける	to smile, to grin		0160
割合	割[わり] 合[あい]	proportion		0124
割り勘	割[わ]り 勘[かん]	to split [share] the costs		0078
割り算	割[わ]り 算[ざん]	division		0078
割と	割[わり]と	comparatively		0124
割る	割[わ]る	to divide		0078
湾	湾[わん]	bay		0034
夫人	夫[ふ] 人[じん]	wife		0002
新時代	新[しん] 時[じ] 代[だい]	new era		0067
